ItemCodigo;CompetenciaCodigo;UnidadCodigo;ObjetivoCodigo;GradoCodigo;DificultadItemCodigo;ItemOmision;ItemBiserial;ItemDificultad;ItemTRIa;ItemTRIb;ItemTRIc;ItemProbAdmin;AreaCodigo;SubObjetivoCodigo
MAT752;18;12;43;3;1;0;0;0;2.839;-1.097;0;0.036621;1;15
MAT76;17;6;0;4;2;0.01;0.39;0.32;0.81;-0.038;0;1;1;0
MAT760;18;6;44;3;0;0;0;0;1.209;-1.496;0;1;1;111
MAT762;18;8;48;6;0;0;0;0;0.762;0.014;0;1;1;135
MAT766;19;9;0;3;3;0;0;0;1.842;-1.249;0;0.27473;1;0
MAT77;17;6;0;5;0;0.02;0.41;0.45;0.393;-0.679;0;1;1;0
MAT782;20;9;0;6;2;0;0;0;1.074;-0.513;0;1;1;0
MAT79;20;6;34;3;0;0;0;0;0.434;2.664;0;1;1;0
MAT84;18;12;43;3;0;0.02;0.36;0.25;0.92;0.388;0;1;1;1
MAT86;18;6;0;5;0;0;0;0;0.819;1.679;0;1;1;0
MAT87;19;6;44;4;0;0.01;0.43;0.29;1.005;0.528;0;1;1;111
MAT871;19;9;0;5;2;0;0.42;0.71;1.852;-1.015;0;0.150916;1;0
MAT872;20;11;42;5;0;0;0;0;0.539;1.896;0;1;1;46
MAT896;18;6;30;3;3;0;0;0;1.277;-2.004;0;1;1;114
MAT897;18;6;30;3;2;0;0;0;0.677;0.081;0;1;1;118
MAT898;20;6;34;3;3;0;0;0;1.44;-1.331;0;1;1;71
MAT899;20;6;34;3;2;0;0;0;1.545;-1.469;0;1;1;71
MAT90;20;12;44;4;2;0.03;0.39;0.33;1.416;-0.039;0;0.10667;1;35
MAT900;18;6;30;3;2;0;0;0;1.276;-0.906;0;1;1;118
MAT903;20;6;34;3;2;0;0;0;2.148;-1.176;0;0.227779;1;71
MAT904;18;6;30;3;2;0;0;0;1.005;-1.277;0;1;1;66
MAT905;20;6;30;3;2;0;0;0;1.331;-0.485;0;1;1;61
MAT907;20;8;45;3;2;0;0;0;1.206;-1.501;0;1;1;123
MAT908;20;12;44;3;1;0;0;0;0.758;-0.186;0;1;1;1
MAT909;18;6;44;3;2;0;0;0;1.239;-1.505;0;1;1;111
MAT91;20;6;0;3;0;0.01;0.49;0.43;1.262;-0.562;0;1;1;0
MAT912;20;9;32;3;2;0;0;0;2.974;-1.505;0;0.108826;1;56
MAT914;18;6;30;4;2;0;0;0;1.319;-1.13;0;1;1;118
MAT916;18;6;36;4;3;0;0;0;1.926;-1.047;0;0.461019;1;76
